CASENUMBER,CASEID,CASENO,CATEGORY,VEHNO,PSU,PSUSTRAT,VERSION,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,VINDecodedOn,CASEWGT
1-10-2017-009-09,6428,9,9,1,10,4,2,WBXPA93426WD,WBX,BMW AG,BMW,"BMW OF NORTH AMERICA, LLC",BMW,X3,2006,MULTIPURPOSE PASSENGER VEHICLE (MPV),3.0i SAV,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,,2979.1682352,,GRAZ,,AUSTRIA,,,,,,,,,,,,,966,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,110.10,,,,,,,,,,,,,,,,,,,,,,,,,6,,Gasoline,,,,167.78,225.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,WBXPA934*6W***,,09OCT19:08:19:44,290.76562003739600000000
1-10-2017-009-09,6428,9,9,2,10,4,2,2G4WF5215X14,2G4,GENERAL MOTORS LLC,GM,,BUICK,Regal,1999,PASSENGER CAR,GS,,,,Sedan/Saloon,4,,3800.0,,OSHAWA #2,ONTARIO,CANADA,,,,,,,,,,,,,984,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,Sequential Fuel Injection (SFI),V-Shaped,,,,Overhead Valve (OHV),,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,2G4WF521*X1***,,09OCT19:08:13:28,290.76562003739600000000
1-10-2017-010-02,6481,10,2,1,10,4,2,1G1JC5SH3C41,1G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Sonic,2012,PASSENGER CAR,LT (Automatic),,,,Sedan/Saloon,4,LUW,1800.0,Automatic,ORION,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,984,GMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Gasoline,Ethanol (E85),Multipoint Fuel Injection (MPFI),,103.00,138.13,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st & 2nd Rows,All Rows,,,0,,,,,1G1JC5SH*C4***,Direct,09OCT19:08:09:29,26.24421400370510000000
1-10-2017-010-02,6481,10,2,2,10,4,2,1FTFW1ET6CFA,1FT,"FORD MOTOR COMPANY, USA",Ford,,FORD,F-150,2012,TRUCK,,,,,Pickup,,,3500.0,,DEARBORN,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,,,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,Ford,,6,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),V-Shaped,272.18,365.00,,,,,Manual,,1st Row (Driver & Passenger),,1st & 2nd Rows,,,,0,,Crew/ Super Crew/ Crew Max,,,1FTFW1ET*CF***,,09OCT19:08:08:52,26.24421400370510000000
1-10-2017-010-02,6481,10,2,3,10,4,2,1FADP3K23EL4,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Focus,2014,PASSENGER CAR,,SE,,,Hatchback/Liftback/Notchback,5,,2000.0,,WAYNE,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,Michigan Assy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,Flexible Fuel Vehicle (FFV),Stoichiometric gasoline direct injection (SGDI),In-Line,119.31,160.00,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st & 2nd Rows,,,,0,,,,,1FADP3K2*EL***,Direct,09OCT19:08:07:36,26.24421400370510000000
1-10-2017-010-02,6481,10,2,5,10,4,2,1XP5DB9X64D8,1XP,PETERBILT MOTORS COMPANY,Peterbilt,PACCAR INC.,PETERBILT,379,2004,TRUCK,,,,,Truck-Tractor,,Caterpillar 3306/C15/C16,,,DENTON,TEXAS,UNITED STATES (USA),,,,,,,,,,,,,1033,Peterbilt,,,"Class 8: 33,001 lb and above (14,969 kg and above)",,,,,,,,,,,,,,,6x4,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,MDHD: Conventional,,,1XP5DB9X*4D***,,09OCT19:08:12:32,26.24421400370510000000
1-10-2017-011-03,6482,11,3,1,10,4,2,1FA6P8AM2G52,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Mustang,2016,PASSENGER CAR,V6 Coupe,,,,Coupe,2,,3700.0,,FLAT ROCK,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,Flat Rock Assembly PLant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,6,,Gasoline,,,V-Shaped,223.71,300.00,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,,0,,,,,1FA6P8AM*G5***,Direct,09OCT19:08:07:30,157.31295499839300000000
1-10-2017-013-08,6561,13,8,1,10,4,2,1FAFP44441F2,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Mustang,2001,PASSENGER CAR,Base,,,,Convertible/Cabriolet,2,,3800.0,,DEARBORN,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,6,,Gasoline,,,V-Shaped,111.86,150.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,1FAFP444*1F***,,09OCT19:08:07:42,156.18732584159300000000
1-10-2017-013-08,6561,13,8,2,10,4,2,1G2NW52E94C1,1G2,GENERAL MOTORS LLC,GM,,PONTIAC,Grand AM,2004,PASSENGER CAR,GT,,,,Sedan/Saloon,4,LA1,3400.0,,LANSING - SOUTH PLANT,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,984,NA-GM Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,6,,,,Sequential Fuel Injection (SFI),V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,1G2NW52E*4C***,,09OCT19:08:09:52,156.18732584159300000000
1-10-2017-014-05,6563,14,5,1,10,4,2,3FADP4EJ1BM2,3FA,"FORD MOTOR COMPANY, MEXICO",Ford,"FORD MOTOR COMPANY, USA",FORD,Fiesta,2011,PASSENGER CAR,SE,,,,Hatchback/Liftback/Notchback,5,,1600.0,,CUAUTITLAN,,MEXICO,,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,,,In-Line,89.48,120.00,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st & 2nd Rows,,,,0,,,,,3FADP4EJ*BM***,Direct,09OCT19:08:14:44,32.23828227143420000000
1-10-2017-015-03,6572,15,3,1,10,4,2,2G1WB5E3XE11,2G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Impala,2014,PASSENGER CAR,Limited LT Fleet,,,,Sedan/Saloon,4,LFX,3600.0,,OSHAWA #2 (OST),ONTARIO,CANADA,,,,,,,,,,,,,984,GMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Gasoline,Ethanol (E85),Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,2G1WB5E3*E1***,Direct,09OCT19:08:13:17,207.98057627128100000000
1-10-2017-015-03,6572,15,3,2,10,4,2,1GNDV33177D1,1GN,GENERAL MOTORS LLC,GM,,CHEVROLET,Uplander,2007,MULTIPURPOSE PASSENGER VEHICLE (MPV),1/2 Ton,LT APV,,,Van,4,LZ9,3900.0,,DORAVILLE,GEORGIA,UNITED STATES (USA),,,,,,,,,,,,,984,NA-MCD Platform (APV),,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,GM,,6,,,,Sequential Fuel Injection (SFI),V-Shaped,,,,,,,,,,,,,,,0,,,,,1GNDV331*7D***,,09OCT19:08:10:50,207.98057627128100000000
1-10-2017-016-03,6573,16,3,1,10,4,2,4T1BF1FK3FU9,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2015,PASSENGER CAR,ASV50L/GSV50L/AVV50L,,,,Sedan/Saloon,4,2AR-FE,2500.0,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,199.85,268.00,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,All Rows,,,0,,,,,4T1BF1FK*FU***,Direct,09OCT19:08:16:01,207.98057628129100000000
1-10-2017-016-03,6573,16,3,2,10,4,2,1GKEV13D29J1,1GK,GENERAL MOTORS LLC,GM,,GMC,Acadia,2009,MULTIPURPOSE PASSENGER VEHICLE (MPV),1/2 Ton,SLE,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,,3600.0,,JANESVILLE,WISCONSIN,UNITED STATES (USA),,,,,,,,,,,,,984,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,AWD/All Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,,,,,,,,,,,,,,,,,0,,,,,1GKEV13D*9J***,Direct,09OCT19:08:10:39,207.98057628129100000000
1-10-2017-017-03,6627,17,3,1,10,4,2,3N1BC1AP9AL4,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,VERSA,2010,PASSENGER CAR,,,,,Sedan/Saloon,4,,1800.0,,,,MEXICO,,,,,,,,,,,,,999,Aguascalientes Plant,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,Gasoline,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,3N1BC1AP*AL***,Direct,09OCT19:08:15:21,176.57362428059200000000
1-10-2017-017-03,6627,17,3,2,10,4,2,1C3CDZAB1DN5,1C3,FCA US LLC,Chrysler,,DODGE,Avenger,2013,PASSENGER CAR,,SE,,,Sedan/Saloon,4,,2400.0,,,,,,,,,,,,,,,,,994,Sterling Heights Assembly,,,,,,,,,,,,,,,,,,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,,,,,,,No,Manual,,1st Row (Driver & Passenger),,All Rows,,,,0,,,,,1C3CDZAB*DN***,Direct,09OCT19:08:06:52,176.57362428059200000000
1-10-2017-018-04,6628,18,4,2,10,4,2,5NPE24AF8FH0,5NP,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,HYUNDAI,Sonata,2015,PASSENGER CAR,"SE, ECO",,LFa,,Sedan/Saloon,4,DOHC GDI THETA-II,2400.0,,,ALABAMA,UNITED STATES (USA),,,,,,,,,,,,,1034,Hyundai Motor Manufacturing Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,,,,,,,,,0,,,,,5NPE24AF*FH***,Direct,09OCT19:08:16:49,602.83113887967900000000
1-10-2017-018-04,6628,18,4,3,10,4,2,19XFB2F91DE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,EX-L,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2756,,,,,,,,,,,,,5,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,19XFB2F9*DE***,Direct,09OCT19:08:06:10,602.83113887967900000000
1-10-2017-019-02,6707,19,2,1,10,4,2,2G1FC1E36E91,2G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Camaro,2014,PASSENGER CAR,2LT,,,,Coupe,2,LFX,3600.0,Automatic,OSHAWA #1 (OSH),ONTARIO,CANADA,,,,,,,,,,,,,984,GMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Gasoline,Ethanol (E85),Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,2G1FC1E3*E9***,Direct,09OCT19:08:13:14,62.26969384391000000000
1-10-2017-020-03,6745,20,3,1,10,4,2,1FADP3F23DL3,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Focus,2013,PASSENGER CAR,SE,,,,Sedan/Saloon,4,,2000.0,,WAYNE,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,Michigan Assy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,Flexible Fuel Vehicle (FFV),Stoichiometric gasoline direct injection (SGDI),In-Line,119.31,160.00,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st & 2nd Rows,,,,0,,,,,1FADP3F2*DL***,Direct,09OCT19:08:07:33,405.61022897248400000000
1-10-2017-020-03,6745,20,3,2,10,4,2,1FAFP52U2WA1,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Taurus,1998,PASSENGER CAR,LX,FFV,,,Sedan/Saloon,4,,3000.0,,ATLANTA,GEORGIA,UNITED STATES (USA),,,,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,6,,Gasoline,,,V-Shaped,108.13,145.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,1FAFP52U*WA***,,09OCT19:08:07:42,405.61022897248400000000
1-10-2017-021-10,6775,21,10,1,10,4,2,6G2VX12U16L5,6G2,GENERAL MOTORS LLC,GM,,PONTIAC,GTO,2006,PASSENGER CAR,,,,,Coupe,2,LS2,6000,,ELIZABETH,SOUTH AUSTRALIA,AUSTRALIA,,,,,,,,,,,,,984,Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chevrolet/Cadillac/Buick,,8,,Gasoline,,Sequential Fuel Injection (SFI),V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),,,,0,,,,,6G2VX12U*6L***,,09OCT19:08:17:25,3689.55001336570000000000
1-10-2017-022-07,6869,22,7,1,10,4,2,1GNFK230X9R2,1GN,GENERAL MOTORS LLC,GM,,CHEVROLET,Tahoe,2009,MULTIPURPOSE PASSENGER VEHICLE (MPV),1/2 Ton,LT,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,LMG,5300.0,,ARLINGTON,TEXAS,UNITED STATES (USA),,,,,,,,,,,,,984,,,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,8,,,,Sequential Fuel Injection (SFI),V-Shaped,,,,,,,,,,,,,,,0,,,,,1GNFK230*9R***,Direct,09OCT19:08:10:59,2737.61734606746000000000
1-10-2017-022-07,6869,22,7,2,10,4,2,2GTEC19K6S15,2GT,GENERAL MOTORS LLC,GM,,GMC,Sierra,1995,TRUCK,,1/2 ton nominal,,,Pickup,,,5700.0,,OSHAWA TRUCK,ONTARIO,CANADA,,,,,,,,,,,,,984,NA-Canada - Truck,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,WRN - Warren,,8,,Gasoline,,Throttle Body Fuel Injection (TBI),V-Shaped,,,,,,,,,,,,,,,0,,Extra/Super/ Quad/Double/King/Extended,,,2GTEC19K*S1***,,09OCT19:08:13:42,2737.61734606746000000000
1-10-2017-023-09,6892,23,9,1,10,4,2,2C8GP64L53R3,2C8,FCA CANADA INC.,Chrysler,FCA US LLC,CHRYSLER,Town and Country,2003,MULTIPURPOSE PASSENGER VEHICLE (MPV),RS,Limited,S Series,,Minivan,4,,3800.0,,WINDSOR,ONTARIO,UNITED STATES (USA),,,,,,,,,,,,,995,Windsor Assembly,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,FWD/Front Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,2C8GP64L*3R***,,09OCT19:08:12:59,2672.59333238203000000000
1-10-2017-023-09,6892,23,9,2,10,4,2,1FAFP40442F1,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Mustang,2002,PASSENGER CAR,Base,,,,Coupe,2,,3800.0,,DEARBORN,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,Dearborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,6,,Gasoline,,,V-Shaped,111.86,150.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,1FAFP404*2F***,,09OCT19:08:07:40,2672.59333238203000000000
