CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDROBTAINED,EDRMETHOD,CASEWGT,PSUSTRAT,VERSION
8552,16,82,1-16-2017-082-04,4,2,5,,1769.80443338983000000000,5,2
8552,16,82,1-16-2017-082-04,4,3,5,,1769.80443338983000000000,5,2
8619,16,83,1-16-2017-083-05,5,1,5,,56.92463203596180000000,5,2
8619,16,83,1-16-2017-083-05,5,2,5,,56.92463203596180000000,5,2
8647,16,85,1-16-2017-085-02,2,1,5,,24.48450823897450000000,5,2
8647,16,85,1-16-2017-085-02,2,2,1,1,24.48450823897450000000,5,2
8691,16,86,1-16-2017-086-09,9,1,3,,3547.68665158674000000000,5,2
8694,16,87,1-16-2017-087-02,2,1,3,,47.92481203941460000000,5,2
8694,16,87,1-16-2017-087-02,2,2,1,1,47.92481203941460000000,5,2
8789,16,88,1-16-2017-088-06,6,1,1,1,2287.90777727149000000000,5,2
8860,16,89,1-16-2017-089-04,4,2,2,1,1935.81901040284000000000,5,2
8861,16,90,1-16-2017-090-09,9,1,3,,3126.49455209188000000000,5,2
8951,16,91,1-16-2017-091-02,2,1,4,,28.38718458042420000000,5,2
8953,16,93,1-16-2017-093-03,3,1,1,1,387.27514087760900000000,5,2
8953,16,93,1-16-2017-093-03,3,2,1,1,387.27514087760900000000,5,2
8966,16,94,1-16-2017-094-06,6,1,3,,751.12185592969200000000,5,2
9019,16,95,1-16-2017-095-06,6,1,2,1,910.10497547752300000000,5,2
6045,17,1,1-17-2017-001-10,10,1,3,,200.16680886181900000000,4,2
6117,17,2,1-17-2017-002-09,9,1,1,1,1415.10629264720000000000,4,2
6118,17,3,1-17-2017-003-08,8,1,1,1,186.33080319887600000000,4,2
6182,17,4,1-17-2017-004-09,9,1,1,2,384.01366230303100000000,4,2
6182,17,4,1-17-2017-004-09,9,2,3,,384.01366230303100000000,4,2
6183,17,5,1-17-2017-005-04,4,1,1,1,214.93968731874500000000,4,2
6184,17,6,1-17-2017-006-04,4,1,2,1,214.93968732486500000000,4,2
6244,17,7,1-17-2017-007-06,6,1,1,1,260.45254408597600000000,4,2
6244,17,7,1-17-2017-007-06,6,2,1,1,260.45254408597600000000,4,2
6245,17,8,1-17-2017-008-03,3,1,1,2,134.28819158768900000000,4,2
6245,17,8,1-17-2017-008-03,3,2,3,,134.28819158768900000000,4,2
6246,17,9,1-17-2017-009-03,3,2,1,1,134.28819158874300000000,4,2
6247,17,10,1-17-2017-010-07,7,1,3,,530.29557908337700000000,4,2
6317,17,11,1-17-2017-011-07,7,1,1,1,1987.12586336849000000000,4,2
6317,17,11,1-17-2017-011-07,7,2,3,,1987.12586336849000000000,4,2
6353,17,12,1-17-2017-012-07,7,1,1,1,1124.00172722639000000000,4,2
6403,17,13,1-17-2017-013-03,3,1,3,,612.63153371033600000000,4,2
6441,17,14,1-17-2017-014-04,4,2,1,1,2564.73694398389000000000,4,2
6492,17,15,1-17-2017-015-04,4,1,1,1,2396.01535024564000000000,4,2
6492,17,15,1-17-2017-015-04,4,2,1,1,2396.01535024564000000000,4,2
6492,17,15,1-17-2017-015-04,4,3,1,1,2396.01535024564000000000,4,2
6541,17,16,1-17-2017-016-05,5,1,3,,108.17988682411800000000,4,2
6541,17,16,1-17-2017-016-05,5,2,1,1,108.17988682411800000000,4,2
6588,17,17,1-17-2017-017-03,3,1,1,2,385.21860264709200000000,4,2
6588,17,17,1-17-2017-017-03,3,2,1,1,385.21860264709200000000,4,2
6635,17,18,1-17-2017-018-01,1,1,3,,269.66330320321100000000,4,2
6673,17,19,1-17-2017-019-03,3,1,1,1,854.41696807267400000000,4,2
6673,17,19,1-17-2017-019-03,3,2,1,1,854.41696807267400000000,4,2
6715,17,20,1-17-2017-020-09,9,1,1,1,2912.32257635234000000000,4,2
6749,17,21,1-17-2017-021-07,7,1,3,,1152.79836779502000000000,4,2
6789,17,22,1-17-2017-022-05,5,1,1,1,139.77152375891400000000,4,2
6812,17,23,1-17-2017-023-09,9,1,1,1,1691.99672341111000000000,4,2
6870,17,24,1-17-2017-024-04,4,1,1,1,4191.22488111450000000000,4,2
6870,17,24,1-17-2017-024-04,4,2,1,2,4191.22488111450000000000,4,2
6905,17,25,1-17-2017-025-06,6,1,1,1,637.72365789726100000000,4,2
6905,17,25,1-17-2017-025-06,6,2,1,2,637.72365789726100000000,4,2
6954,17,26,1-17-2017-026-02,2,1,1,1,245.24541505623200000000,4,2
6954,17,26,1-17-2017-026-02,2,2,1,2,245.24541505623200000000,4,2
7004,17,28,1-17-2017-028-08,8,1,1,2,293.24993408568300000000,4,2
7004,17,28,1-17-2017-028-08,8,2,1,2,293.24993408568300000000,4,2
7018,17,29,1-17-2017-029-03,3,1,1,1,556.30488602118700000000,4,2
7065,17,30,1-17-2017-030-07,7,1,1,1,1778.88196036324000000000,4,2
7065,17,30,1-17-2017-030-07,7,2,3,,1778.88196036324000000000,4,2
7066,17,31,1-17-2017-031-02,2,1,1,2,67.58279126353610000000,4,2
7066,17,31,1-17-2017-031-02,2,2,1,1,67.58279126353610000000,4,2
7121,17,33,1-17-2017-033-07,7,1,3,,2501.79702288383000000000,4,2
7169,17,34,1-17-2017-034-09,9,1,1,2,1404.60743210442000000000,4,2
7170,17,35,1-17-2017-035-07,7,1,1,1,884.59665778365500000000,4,2
7170,17,35,1-17-2017-035-07,7,2,1,1,884.59665778365500000000,4,2
7217,17,36,1-17-2017-036-05,5,1,1,1,139.81631156217800000000,4,2
7257,17,37,1-17-2017-037-07,7,2,3,,394.88797396164200000000,4,2
7258,17,38,1-17-2017-038-04,4,1,1,1,350.95667965408700000000,4,2
7307,17,39,1-17-2017-039-09,9,2,1,1,746.52365176238700000000,4,2
7308,17,40,1-17-2017-040-07,7,1,3,,470.14725410652400000000,4,2
7369,17,41,1-17-2017-041-06,6,1,1,2,158.75803500849500000000,4,2
7371,17,43,1-17-2017-043-07,7,1,3,,323.24001443068500000000,4,2
7390,17,44,1-17-2017-044-03,3,1,1,1,81.85494787958960000000,4,2
7390,17,44,1-17-2017-044-03,3,2,1,1,81.85494787958960000000,4,2
7436,17,45,1-17-2017-045-03,3,2,1,1,159.02456619967100000000,4,2
7437,17,46,1-17-2017-046-07,7,1,1,1,627.97795862496700000000,4,2
7539,17,47,1-17-2017-047-03,3,1,1,2,134.78804348316800000000,4,2
7539,17,47,1-17-2017-047-03,3,2,3,,134.78804348316800000000,4,2
7540,17,48,1-17-2017-048-07,7,1,1,1,532.26946261456200000000,4,2
7540,17,48,1-17-2017-048-07,7,2,1,1,532.26946261456200000000,4,2
7558,17,49,1-17-2017-049-03,3,1,1,2,134.78804348316800000000,4,2
7558,17,49,1-17-2017-049-03,3,2,3,,134.78804348316800000000,4,2
7593,17,50,1-17-2017-050-07,7,1,1,2,900.22638266429200000000,4,2
7592,17,51,1-17-2017-051-04,4,1,1,1,800.07618116919000000000,4,2
7592,17,51,1-17-2017-051-04,4,2,5,,800.07618116919000000000,4,2
7661,17,52,1-17-2017-052-04,4,1,1,1,491.51542979830200000000,4,2
7662,17,53,1-17-2017-053-04,4,1,3,,491.51542979503400000000,4,2
7662,17,53,1-17-2017-053-04,4,2,1,1,491.51542979503400000000,4,2
7662,17,53,1-17-2017-053-04,4,3,3,,491.51542979503400000000,4,2
7663,17,54,1-17-2017-054-10,10,1,1,1,2298.12604323796000000000,4,2
7663,17,54,1-17-2017-054-10,10,2,1,1,2298.12604323796000000000,4,2
7716,17,55,1-17-2017-055-05,5,1,1,1,105.50251995997300000000,4,2
7772,17,56,1-17-2017-056-03,3,1,1,2,227.76959912268800000000,4,2
7772,17,56,1-17-2017-056-03,3,2,1,1,227.76959912268800000000,4,2
7773,17,57,1-17-2017-057-08,8,1,5,,188.05340454226200000000,4,2
7774,17,58,1-17-2017-058-07,7,1,1,1,899.44774767879900000000,4,2
7835,17,60,1-17-2017-060-06,6,1,1,1,368.15814485261600000000,4,2
7835,17,60,1-17-2017-060-06,6,2,3,,368.15814485261600000000,4,2
7866,17,61,1-17-2017-061-04,4,1,1,1,666.19814692973400000000,4,2
7866,17,61,1-17-2017-061-04,4,2,1,1,666.19814692973400000000,4,2
7892,17,62,1-17-2017-062-06,6,1,3,,254.33523737377100000000,4,2
7893,17,63,1-17-2017-063-07,7,1,1,1,517.84040911397300000000,4,2
7893,17,63,1-17-2017-063-07,7,2,3,,517.84040911397300000000,4,2
7893,17,63,1-17-2017-063-07,7,3,1,1,517.84040911397300000000,4,2
7894,17,64,1-17-2017-064-07,7,1,3,,517.84040911397300000000,4,2
7946,17,65,1-17-2017-065-02,2,1,9,,70.25774128885290000000,4,2
7946,17,65,1-17-2017-065-02,2,2,3,,70.25774128885290000000,4,2
7947,17,66,1-17-2017-066-04,4,1,1,1,1695.72707745063000000000,4,2
7947,17,66,1-17-2017-066-04,4,2,1,1,1695.72707745063000000000,4,2
8003,17,67,1-17-2017-067-04,4,1,9,,1439.31692420907000000000,4,2
8004,17,68,1-17-2017-068-02,2,1,6,,100.14669405249400000000,4,2
8005,17,69,1-17-2017-069-08,8,1,1,2,338.59620717804800000000,4,2
8072,17,70,1-17-2017-070-05,5,1,1,2,156.47957675514800000000,4,2
8119,17,71,1-17-2017-071-06,6,1,1,1,304.94974891827000000000,4,2
8119,17,71,1-17-2017-071-06,6,2,3,,304.94974891827000000000,4,2
8120,17,72,1-17-2017-072-03,3,1,1,2,157.23075561188600000000,4,2
8120,17,72,1-17-2017-072-03,3,2,1,1,157.23075561188600000000,4,2
8120,17,72,1-17-2017-072-03,3,3,5,,157.23075561188600000000,4,2
8121,17,73,1-17-2017-073-02,2,1,3,,67.58279126353610000000,4,2
8121,17,73,1-17-2017-073-02,2,2,1,1,67.58279126353610000000,4,2
8208,17,74,1-17-2017-074-09,9,1,1,1,1277.91476599499000000000,4,2
8209,17,75,1-17-2017-075-07,7,2,1,1,804.80788089746900000000,4,2
8209,17,75,1-17-2017-075-07,7,3,1,1,804.80788089746900000000,4,2
8267,17,76,1-17-2017-076-08,8,1,1,1,421.79301649750600000000,4,2
8268,17,77,1-17-2017-077-05,5,1,1,1,87.06136847460150000000,4,2
8268,17,77,1-17-2017-077-05,5,2,3,,87.06136847460150000000,4,2
8269,17,78,1-17-2017-078-02,2,2,1,1,67.58279126353610000000,4,2
8358,17,79,1-17-2017-079-07,7,1,3,,905.49764286430300000000,4,2
8359,17,80,1-17-2017-080-04,4,1,3,,804.76101358795200000000,4,2
8359,17,80,1-17-2017-080-04,4,2,1,2,804.76101358795200000000,4,2
8426,17,81,1-17-2017-081-07,7,1,1,1,714.05096634316100000000,4,2
8427,17,82,1-17-2017-082-04,4,1,1,1,634.61278331036300000000,4,2
8427,17,82,1-17-2017-082-04,4,2,5,,634.61278331036300000000,4,2
8428,17,83,1-17-2017-083-06,6,1,1,1,350.70326460731600000000,4,2
8504,17,84,1-17-2017-084-04,4,1,1,1,1633.46366478719000000000,4,2
8504,17,84,1-17-2017-084-04,4,2,2,1,1633.46366478719000000000,4,2
8505,17,85,1-17-2017-085-05,5,1,3,,79.31607956052850000000,4,2
8573,17,86,1-17-2017-086-01,1,1,3,,222.27511247089600000000,4,2
8624,17,87,1-17-2017-087-10,10,1,1,1,2732.05526558107000000000,4,2
8625,17,88,1-17-2017-088-04,4,1,3,,584.32274506312600000000,4,2
8724,17,89,1-17-2017-089-05,5,1,1,1,628.83294075430700000000,4,2
8808,17,90,1-17-2017-090-02,2,1,5,,70.25774132264430000000,4,2
8808,17,90,1-17-2017-090-02,2,2,5,,70.25774132264430000000,4,2
8809,17,91,1-17-2017-091-04,4,1,1,1,1129.31246423995000000000,4,2
8809,17,91,1-17-2017-091-04,4,2,2,1,1129.31246423995000000000,4,2
8810,17,92,1-17-2017-092-08,8,1,5,,265.66832544665600000000,4,2
8810,17,92,1-17-2017-092-08,8,2,1,4,265.66832544665600000000,4,2
8859,17,93,1-17-2017-093-09,9,1,3,,1405.40950226752000000000,4,2
8859,17,93,1-17-2017-093-09,9,2,1,1,1405.40950226752000000000,4,2
8948,17,94,1-17-2017-094-02,2,1,1,2,187.31185938244400000000,4,2
9025,17,95,1-17-2017-095-01,1,1,1,3,141.13979406929600000000,4,2
6129,18,1,1-18-2017-001-10,10,1,1,1,6297.69228784152000000000,6,2
6211,18,2,1-18-2017-002-04,4,1,1,1,559.49708685966300000000,6,2
6211,18,2,1-18-2017-002-04,4,2,1,1,559.49708685966300000000,6,2
6214,18,3,1-18-2017-003-10,10,1,1,1,4594.56953046122000000000,6,2
6258,18,4,1-18-2017-004-10,10,1,1,1,4851.78412070462000000000,6,2
6259,18,5,1-18-2017-005-09,9,1,1,1,1101.97355497386000000000,6,2
6259,18,5,1-18-2017-005-09,9,2,1,1,1101.97355497386000000000,6,2
6314,18,6,1-18-2017-006-10,10,1,1,2,9018.03222861973000000000,6,2
6314,18,6,1-18-2017-006-10,10,2,1,1,9018.03222861973000000000,6,2
6364,18,7,1-18-2017-007-02,2,1,1,2,124.55954653348500000000,6,2
6405,18,8,1-18-2017-008-07,7,1,1,1,1457.92941404829000000000,6,2
6450,18,9,1-18-2017-009-06,6,2,1,1,257.06934486803000000000,6,2
6504,18,10,1-18-2017-010-09,9,1,1,1,2893.11600762170000000000,6,2
6543,18,11,1-18-2017-011-06,6,1,3,,726.60901657940100000000,6,2
6543,18,11,1-18-2017-011-06,6,2,1,1,726.60901657940100000000,6,2
6592,18,12,1-18-2017-012-04,4,1,2,1,2398.10824569296000000000,6,2
6592,18,12,1-18-2017-012-04,4,2,2,1,2398.10824569296000000000,6,2
6639,18,13,1-18-2017-013-06,6,1,1,1,385.19032204209200000000,6,2
6691,18,15,1-18-2017-015-09,9,1,3,,958.54534062632800000000,6,2
6691,18,15,1-18-2017-015-09,9,2,1,3,958.54534062632800000000,6,2
6719,18,16,1-18-2017-016-03,3,1,1,1,208.07525317884000000000,6,2
6754,18,17,1-18-2017-017-09,9,1,1,2,2543.89401154685000000000,6,2
6796,18,18,1-18-2017-018-03,3,1,1,2,329.59017347433600000000,6,2
6796,18,18,1-18-2017-018-03,3,2,3,,329.59017347433600000000,6,2
6830,18,19,1-18-2017-019-08,8,1,3,,703.27361945978400000000,6,2
6888,18,21,1-18-2017-021-09,9,1,3,,1731.35796359501000000000,6,2
6912,18,22,1-18-2017-022-07,7,1,3,,1047.66565241308000000000,6,2
6912,18,22,1-18-2017-022-07,7,2,1,1,1047.66565241308000000000,6,2
6956,18,23,1-18-2017-023-10,10,1,3,,20830.73511251550000000000,6,2
6993,18,24,1-18-2017-024-10,10,1,3,,13682.26404393850000000000,6,2
7030,18,25,1-18-2017-025-04,4,1,1,1,1508.13322942618000000000,6,2
7030,18,25,1-18-2017-025-04,4,2,1,1,1508.13322942618000000000,6,2
7069,18,26,1-18-2017-026-01,1,1,2,3,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,1,3,406.96035874213900000000,6,2
7126,18,27,1-18-2017-027-04,4,1,1,1,457.76829821327100000000,6,2
7127,18,28,1-18-2017-028-09,9,3,1,1,853.81231680649800000000,6,2
7176,18,29,1-18-2017-029-06,6,1,3,,1868.06986050596000000000,6,2
7176,18,29,1-18-2017-029-06,6,2,1,1,1868.06986050596000000000,6,2
7224,18,31,1-18-2017-031-07,7,2,3,,1313.24977357053000000000,6,2
7277,18,32,1-18-2017-032-04,4,1,1,1,1598.29630310592000000000,6,2
7277,18,32,1-18-2017-032-04,4,2,1,1,1598.29630310592000000000,6,2
7361,18,33,1-18-2017-033-04,4,1,1,1,706.85869642507400000000,6,2
7438,18,34,1-18-2017-034-03,3,1,1,3,172.96302857608600000000,6,2
7438,18,34,1-18-2017-034-03,3,2,9,,172.96302857608600000000,6,2
7454,18,36,1-18-2017-036-03,3,1,3,,172.96302857608600000000,6,2
7454,18,36,1-18-2017-036-03,3,2,3,,172.96302857608600000000,6,2
7542,18,37,1-18-2017-037-04,4,1,1,1,5254.45731880989000000000,6,2
7542,18,37,1-18-2017-037-04,4,2,1,1,5254.45731880989000000000,6,2
7605,18,38,1-18-2017-038-02,2,1,4,,82.56750368106610000000,6,2
7606,18,39,1-18-2017-039-09,9,1,1,1,3265.88247428880000000000,6,2
7690,18,41,1-18-2017-041-07,7,1,1,1,661.11520052444500000000,6,2
7723,18,42,1-18-2017-042-05,5,1,3,,75.64990687070430000000,6,2
7724,18,43,1-18-2017-043-06,6,1,1,1,580.56124480734400000000,6,2
7724,18,43,1-18-2017-043-06,6,2,1,3,580.56124480734400000000,6,2
7788,18,44,1-18-2017-044-09,9,1,3,,2583.42857714023000000000,6,2
7854,18,45,1-18-2017-045-07,7,1,1,1,252.54613030044100000000,6,2
7855,18,46,1-18-2017-046-07,7,1,1,1,252.54613030044100000000,6,2
7902,18,47,1-18-2017-047-04,4,1,1,1,2602.89340505390000000000,6,2
7958,18,48,1-18-2017-048-04,4,1,1,1,1817.72986799856000000000,6,2
7958,18,48,1-18-2017-048-04,4,2,1,1,1817.72986799856000000000,6,2
7959,18,49,1-18-2017-049-02,2,2,3,,82.56750368106610000000,6,2
8040,18,51,1-18-2017-051-07,7,1,1,1,542.40021166799200000000,6,2
8040,18,51,1-18-2017-051-07,7,2,3,,542.40021166799200000000,6,2
8073,18,52,1-18-2017-052-06,6,1,1,2,589.07980849348800000000,6,2
8073,18,52,1-18-2017-052-06,6,2,1,1,589.07980849348800000000,6,2
8074,18,53,1-18-2017-053-06,6,1,1,1,589.07980849348800000000,6,2
8130,18,54,1-18-2017-054-01,1,1,4,,379.98349883598600000000,6,2
8130,18,54,1-18-2017-054-01,1,2,4,,379.98349883598600000000,6,2
8210,18,55,1-18-2017-055-07,7,1,1,1,1178.91146170421000000000,6,2
8211,18,56,1-18-2017-056-04,4,1,1,1,1072.23628325102000000000,6,2
8273,18,57,1-18-2017-057-09,9,1,3,,5717.44522861119000000000,6,2
8273,18,57,1-18-2017-057-09,9,2,1,1,5717.44522861119000000000,6,2
8361,18,58,1-18-2017-058-09,9,1,3,,1580.31941531867000000000,6,2
8389,18,60,1-18-2017-060-03,3,1,3,,219.84355060555800000000,6,2
8389,18,60,1-18-2017-060-03,3,2,3,,219.84355060555800000000,6,2
8433,18,61,1-18-2017-061-04,4,1,1,1,3486.74804297256000000000,6,2
8508,18,62,1-18-2017-062-03,3,1,1,1,400.87137569831700000000,6,2
8508,18,62,1-18-2017-062-03,3,2,1,1,400.87137569831700000000,6,2
8509,18,63,1-18-2017-063-06,6,1,1,1,610.85441384266600000000,6,2
8509,18,63,1-18-2017-063-06,6,2,2,2,610.85441384266600000000,6,2
8588,18,65,1-18-2017-065-06,6,1,3,,839.60565091644400000000,6,2
8588,18,65,1-18-2017-065-06,6,2,3,,839.60565091644400000000,6,2
8635,18,66,1-18-2017-066-03,3,2,1,1,516.95073212531300000000,6,2
8635,18,66,1-18-2017-066-03,3,3,1,1,516.95073212531300000000,6,2
8636,18,67,1-18-2017-067-02,2,1,5,,82.56750368106610000000,6,2
8636,18,67,1-18-2017-067-02,2,2,1,1,82.56750368106610000000,6,2
8636,18,67,1-18-2017-067-02,2,3,3,,82.56750368106610000000,6,2
8746,18,69,1-18-2017-069-07,7,1,1,1,1178.05380765669000000000,6,2
8765,18,70,1-18-2017-070-03,3,1,1,1,278.00972779916800000000,6,2
8811,18,71,1-18-2017-071-09,9,1,1,1,9984.70215625247000000000,6,2
8879,18,72,1-18-2017-072-04,4,1,1,1,1390.56346152585000000000,6,2
8880,18,73,1-18-2017-073-01,1,1,1,2,136.74127624896500000000,6,2
8977,18,74,1-18-2017-074-07,7,1,3,,5341.98894838585000000000,6,2
9092,18,76,1-18-2017-076-04,4,1,5,,296.07330258996400000000,6,2
9092,18,76,1-18-2017-076-04,4,2,2,1,296.07330258996400000000,6,2
6068,19,1,1-19-2017-001-06,6,1,3,,250.94245606192000000000,9,2
6068,19,1,1-19-2017-001-06,6,2,3,,250.94245606192000000000,9,2
6105,19,2,1-19-2017-002-05,5,1,1,3,84.45242169221480000000,9,2
6106,19,3,1-19-2017-003-02,2,1,3,,102.08901342749200000000,9,2
6111,19,4,1-19-2017-004-05,5,1,4,,84.45242169221480000000,9,2
6112,19,5,1-19-2017-005-03,3,2,4,,639.39264963286900000000,9,2
6186,19,6,1-19-2017-006-04,4,1,1,1,1259.52606882267000000000,9,2
6186,19,6,1-19-2017-006-04,4,2,3,,1259.52606882267000000000,9,2
6187,19,7,1-19-2017-007-05,5,1,1,1,79.98489951025890000000,9,2
6187,19,7,1-19-2017-007-05,5,2,3,,79.98489951025890000000,9,2
6188,19,8,1-19-2017-008-08,8,1,3,,306.90561299384600000000,9,2
6189,19,9,1-19-2017-009-05,5,1,1,1,79.98489951025890000000,9,2
6265,19,12,1-19-2017-012-07,7,1,3,,550.08296943677000000000,9,2
6265,19,12,1-19-2017-012-07,7,2,1,1,550.08296943677000000000,9,2
6266,19,13,1-19-2017-013-05,5,1,4,,79.98489951025890000000,9,2
6269,19,14,1-19-2017-014-09,9,1,1,1,933.15590969023200000000,9,2
6270,19,15,1-19-2017-015-06,6,1,1,1,169.15525252144600000000,9,2
6270,19,15,1-19-2017-015-06,6,2,1,1,169.15525252144600000000,9,2
6310,19,17,1-19-2017-017-02,2,1,3,,102.08901342749200000000,9,2
6310,19,17,1-19-2017-017-02,2,2,1,1,102.08901342749200000000,9,2
6312,19,18,1-19-2017-018-03,3,1,3,,252.84641086525500000000,9,2
6312,19,18,1-19-2017-018-03,3,2,1,1,252.84641086525500000000,9,2
6362,19,19,1-19-2017-019-06,6,1,1,1,417.70420985892400000000,9,2
6362,19,19,1-19-2017-019-06,6,2,3,,417.70420985892400000000,9,2
6363,19,20,1-19-2017-020-04,4,1,3,,1320.59535121042000000000,9,2
6363,19,20,1-19-2017-020-04,4,2,1,1,1320.59535121042000000000,9,2
6394,19,21,1-19-2017-021-03,3,1,1,1,2777.33927092249000000000,9,2
6394,19,21,1-19-2017-021-03,3,2,1,1,2777.33927092249000000000,9,2
6395,19,22,1-19-2017-022-02,2,1,1,1,231.02781274465900000000,9,2
6395,19,22,1-19-2017-022-02,2,2,3,,231.02781274465900000000,9,2
6439,19,23,1-19-2017-023-05,5,1,3,,89.46450544409630000000,9,2
6439,19,23,1-19-2017-023-05,5,2,1,1,89.46450544409630000000,9,2
6440,19,24,1-19-2017-024-08,8,1,3,,795.12891981253700000000,9,2
6440,19,24,1-19-2017-024-08,8,2,3,,795.12891981253700000000,9,2
6497,19,25,1-19-2017-025-05,5,1,9,,253.13956462978300000000,9,2
6497,19,25,1-19-2017-025-05,5,2,1,1,253.13956462978300000000,9,2
6498,19,26,1-19-2017-026-05,5,1,3,,253.13956462978300000000,9,2
6498,19,26,1-19-2017-026-05,5,2,4,,253.13956462978300000000,9,2
6535,19,27,1-19-2017-027-05,5,1,1,1,98.25784561067750000000,9,2
6535,19,27,1-19-2017-027-05,5,2,1,1,98.25784561067750000000,9,2
6559,19,29,1-19-2017-029-01,1,1,4,,184.56369697782800000000,9,2
6584,19,31,1-19-2017-031-05,5,1,1,1,79.98489951025890000000,9,2
6609,19,32,1-19-2017-032-03,3,1,3,,513.15205179595300000000,9,2
6609,19,32,1-19-2017-032-03,3,2,1,1,513.15205179595300000000,9,2
6633,19,33,1-19-2017-033-10,10,1,3,,12915.28522029220000000000,9,2
6633,19,33,1-19-2017-033-10,10,2,1,1,12915.28522029220000000000,9,2
6634,19,34,1-19-2017-034-06,6,1,3,,497.45762400737000000000,9,2
6634,19,34,1-19-2017-034-06,6,2,5,,497.45762400737000000000,9,2
6674,19,35,1-19-2017-035-06,6,1,3,,575.35912671865800000000,9,2
6674,19,35,1-19-2017-035-06,6,2,1,1,575.35912671865800000000,9,2
6675,19,36,1-19-2017-036-08,8,1,3,,443.23861481034500000000,9,2
6675,19,36,1-19-2017-036-08,8,2,3,,443.23861481034500000000,9,2
6711,19,37,1-19-2017-037-07,7,1,3,,3842.78409134777000000000,9,2
6712,19,38,1-19-2017-038-08,8,1,3,,910.33628787797500000000,9,2
6712,19,38,1-19-2017-038-08,8,2,3,,910.33628787797500000000,9,2
6751,19,39,1-19-2017-039-10,10,2,1,1,18182.90576581580000000000,9,2
6752,19,40,1-19-2017-040-08,8,1,4,,539.52796496770800000000,9,2
6790,19,41,1-19-2017-041-01,1,1,4,,249.50248848962300000000,9,2
6792,19,42,1-19-2017-042-03,3,1,3,,1005.66044828180000000000,9,2
6792,19,42,1-19-2017-042-03,3,2,4,,1005.66044828180000000000,9,2
6825,19,43,1-19-2017-043-02,2,1,99,,102.08901342749200000000,9,2
6826,19,44,1-19-2017-044-08,8,1,1,1,1264.82168849430000000000,9,2
6867,19,45,1-19-2017-045-02,2,1,1,1,178.30364945838700000000,9,2
6868,19,46,1-19-2017-046-05,5,1,3,,283.11923036077500000000,9,2
6904,19,48,1-19-2017-048-01,1,1,3,,144.57700864551200000000,9,2
6928,19,49,1-19-2017-049-03,3,1,1,1,321.16457646952100000000,9,2
6928,19,49,1-19-2017-049-03,3,2,1,1,321.16457646952100000000,9,2
6946,19,50,1-19-2017-050-03,3,1,3,,292.08049170068200000000,9,2
6946,19,50,1-19-2017-050-03,3,2,3,,292.08049170068200000000,9,2
6947,19,51,1-19-2017-051-10,10,1,1,1,11555.35071414100000000000,9,2
6983,19,52,1-19-2017-052-03,3,1,5,,360.98015372023500000000,9,2
6983,19,52,1-19-2017-052-03,3,2,1,1,360.98015372023500000000,9,2
6984,19,53,1-19-2017-053-03,3,1,1,1,360.98015372023500000000,9,2
6984,19,53,1-19-2017-053-03,3,2,1,1,360.98015372023500000000,9,2
7020,19,54,1-19-2017-054-01,1,1,4,,334.48698003331000000000,9,2
7020,19,54,1-19-2017-054-01,1,2,3,,334.48698003331000000000,9,2
7036,19,56,1-19-2017-056-02,2,3,1,1,112.14787202290300000000,9,2
7058,19,57,1-19-2017-057-10,10,1,1,1,9189.86912192756000000000,9,2
7059,19,58,1-19-2017-058-04,4,1,1,1,1119.08307584669000000000,9,2
7060,19,59,1-19-2017-059-05,5,1,3,,79.98489951025890000000,9,2
7060,19,59,1-19-2017-059-05,5,2,1,1,79.98489951025890000000,9,2
7115,19,60,1-19-2017-060-05,5,1,3,,169.97030620833300000000,9,2
7115,19,60,1-19-2017-060-05,5,2,3,,169.97030620833300000000,9,2
7162,19,61,1-19-2017-061-05,5,1,3,,82.44532525020580000000,9,2
7163,19,62,1-19-2017-062-03,3,1,1,1,624.19684249779500000000,9,2
7163,19,62,1-19-2017-062-03,3,2,3,,624.19684249779500000000,9,2
7215,19,65,1-19-2017-065-02,2,1,1,1,102.08901342749200000000,9,2
7215,19,65,1-19-2017-065-02,2,2,1,1,102.08901342749200000000,9,2
7216,19,66,1-19-2017-066-02,2,1,1,1,102.08901342749200000000,9,2
7225,19,67,1-19-2017-067-01,1,1,4,,252.57481808980300000000,9,2
7262,19,68,1-19-2017-068-07,7,1,1,1,1641.40680223338000000000,9,2
7262,19,68,1-19-2017-068-07,7,2,3,,1641.40680223338000000000,9,2
7263,19,69,1-19-2017-069-10,10,1,3,,13104.52934272760000000000,9,2
7264,19,70,1-19-2017-070-06,6,1,3,,504.74673376362800000000,9,2
7264,19,70,1-19-2017-070-06,6,2,1,1,504.74673376362800000000,9,2
7313,19,71,1-19-2017-071-02,2,1,4,,102.25436852187300000000,9,2
7314,19,72,1-19-2017-072-02,2,1,5,,284.36760501366100000000,9,2
7314,19,72,1-19-2017-072-02,2,2,1,1,284.36760501366100000000,9,2
7315,19,73,1-19-2017-073-06,6,1,1,1,1873.17869437277000000000,9,2
7363,19,74,1-19-2017-074-10,10,1,6,,7255.18554010693000000000,9,2
7364,19,75,1-19-2017-075-08,8,1,1,1,215.27777464898600000000,9,2
7365,19,76,1-19-2017-076-08,8,1,3,,215.27777464898600000000,9,2
